,FlightDate,Airport,Origin_AirTraffic_count,Dest_AirTraffic_count,Total_AirTraffic_count,Date,Holiday
417,2019-02-22,DTW,434,434,868,,
418,2019-02-23,DTW,293,293,586,,
419,2019-02-24,DTW,378,378,756,,
420,2019-02-25,DTW,435,436,871,,
421,2019-02-26,DTW,427,430,857,,
422,2019-02-27,DTW,400,397,797,,
423,2019-02-28,DTW,435,436,871,,
424,2019-03-01,DTW,439,437,876,,
425,2019-03-02,DTW,336,332,668,,
426,2019-03-03,DTW,425,424,849,,
427,2019-03-04,DTW,466,467,933,,
428,2019-03-05,DTW,459,459,918,,
429,2019-03-06,DTW,459,459,918,,
430,2019-03-07,DTW,468,468,936,,
431,2019-03-08,DTW,470,469,939,,
432,2019-03-09,DTW,338,340,678,,
433,2019-03-10,DTW,426,425,851,,
434,2019-03-11,DTW,469,469,938,,
435,2019-03-12,DTW,460,459,919,,
436,2019-03-13,DTW,459,459,918,,
437,2019-03-14,DTW,470,469,939,,
438,2019-03-15,DTW,470,470,940,,
439,2019-03-16,DTW,340,341,681,,
440,2019-03-17,DTW,427,426,853,,
441,2019-03-18,DTW,469,470,939,,
442,2019-03-19,DTW,462,460,922,,
443,2019-03-20,DTW,461,460,921,,
444,2019-03-21,DTW,470,471,941,,
445,2019-03-22,DTW,472,472,944,,
446,2019-03-23,DTW,340,341,681,,
447,2019-03-24,DTW,427,426,853,,
448,2019-03-25,DTW,469,470,939,,
449,2019-03-26,DTW,461,460,921,,
450,2019-03-27,DTW,461,461,922,,
451,2019-03-28,DTW,470,470,940,,
452,2019-03-29,DTW,471,471,942,,
453,2019-03-30,DTW,339,340,679,,
454,2019-03-31,DTW,426,426,852,,
455,2019-04-01,DTW,476,476,952,,
456,2019-04-02,DTW,459,461,920,,
457,2019-04-03,DTW,462,463,925,,
458,2019-04-04,DTW,471,471,942,,
459,2019-04-05,DTW,472,472,944,,
460,2019-04-06,DTW,329,331,660,,
461,2019-04-07,DTW,431,428,859,,
462,2019-04-08,DTW,472,470,942,,
463,2019-04-09,DTW,463,462,925,,
464,2019-04-10,DTW,465,465,930,,
465,2019-04-11,DTW,471,471,942,,
466,2019-04-12,DTW,472,472,944,,
467,2019-04-13,DTW,326,327,653,,
468,2019-04-14,DTW,433,431,864,,
469,2019-04-15,DTW,470,470,940,,
470,2019-04-16,DTW,460,460,920,,
471,2019-04-17,DTW,465,465,930,,
472,2019-04-18,DTW,472,472,944,,
473,2019-04-19,DTW,472,472,944,,
474,2019-04-20,DTW,310,311,621,,
475,2019-04-21,DTW,407,406,813,2019-04-21,Western Easter
476,2019-04-22,DTW,468,468,936,,
477,2019-04-23,DTW,460,460,920,,
478,2019-04-24,DTW,463,463,926,,
479,2019-04-25,DTW,472,472,944,,
480,2019-04-26,DTW,472,472,944,,
481,2019-04-27,DTW,325,326,651,,
482,2019-04-28,DTW,433,432,865,2019-04-28,Eastern Easter
483,2019-04-29,DTW,468,468,936,,
484,2019-04-30,DTW,462,460,922,,
485,2019-05-01,DTW,474,473,947,,
486,2019-05-02,DTW,480,481,961,,
487,2019-05-03,DTW,484,483,967,,
488,2019-05-04,DTW,327,328,655,,
489,2019-05-05,DTW,443,444,887,,
490,2019-05-06,DTW,478,478,956,,
491,2019-05-07,DTW,467,467,934,,
492,2019-05-08,DTW,472,471,943,,
493,2019-05-09,DTW,484,484,968,,
494,2019-05-10,DTW,486,486,972,,
495,2019-05-11,DTW,313,314,627,,
496,2019-05-12,DTW,399,398,797,,
497,2019-05-13,DTW,483,484,967,,
498,2019-05-14,DTW,470,470,940,,
499,2019-05-15,DTW,475,474,949,,
500,2019-05-16,DTW,487,486,973,,
501,2019-05-17,DTW,489,489,978,,
502,2019-05-18,DTW,333,334,667,,
503,2019-05-19,DTW,450,449,899,,
504,2019-05-20,DTW,485,486,971,,
505,2019-05-21,DTW,472,472,944,,
506,2019-05-22,DTW,478,478,956,,
507,2019-05-23,DTW,485,485,970,,
508,2019-05-24,DTW,488,488,976,,
509,2019-05-25,DTW,305,304,609,,
510,2019-05-26,DTW,315,319,634,,
511,2019-05-27,DTW,444,442,886,2019-05-27,Memorial Day
